epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,545.424,1.23739,0.81828,0.97692,0.57377,0.48925,0.47626,0.27732,1.40906,1.06369,1.06185,0.0098647,0.0098647,0.0098647
43,558.431,1.21236,0.76671,0.96477,0.64189,0.51523,0.55077,0.33192,1.32763,0.89981,1.02935,0.0098614,0.0098614,0.0098614
44,571.322,1.22871,0.78529,0.96343,0.59621,0.55425,0.55679,0.33042,1.32395,0.90639,1.01192,0.0098581,0.0098581,0.0098581
45,584.132,1.19656,0.77528,0.95901,0.59648,0.51773,0.54612,0.30641,1.41474,0.91694,1.03336,0.0098548,0.0098548,0.0098548
46,597.066,1.23121,0.7577,0.96476,0.61167,0.55657,0.57621,0.33409,1.36324,0.86422,1.01584,0.0098515,0.0098515,0.0098515
47,610.03,1.22041,0.72958,0.95759,0.61099,0.53946,0.54361,0.33407,1.30837,0.90795,1.02714,0.0098482,0.0098482,0.0098482
48,622.985,1.21493,0.74223,0.96177,0.62087,0.5622,0.55845,0.33796,1.31593,0.89654,1.01578,0.0098449,0.0098449,0.0098449
49,636.017,1.19403,0.74775,0.95926,0.59907,0.49991,0.51707,0.29431,1.36935,0.98276,1.03898,0.0098416,0.0098416,0.0098416
50,648.287,1.18024,0.72374,0.95624,0.65517,0.57688,0.60781,0.36175,1.33318,0.82487,1.01027,0.0098383,0.0098383,0.0098383
51,660.804,1.20968,0.71813,0.95725,0.66713,0.56031,0.60394,0.37344,1.25821,0.78775,0.99706,0.009835,0.009835,0.009835
52,673.271,1.18394,0.71113,0.95178,0.63511,0.55693,0.57387,0.34234,1.30609,0.87902,1.00256,0.0098317,0.0098317,0.0098317
53,686.036,1.17381,0.70239,0.94942,0.61995,0.55318,0.56964,0.3362,1.33594,0.85829,1.0147,0.0098284,0.0098284,0.0098284
54,698.662,1.18051,0.69646,0.95042,0.66439,0.5696,0.60862,0.36668,1.30617,0.80618,1.00173,0.0098251,0.0098251,0.0098251
55,711.105,1.17203,0.7012,0.95159,0.60375,0.55086,0.54742,0.33123,1.33941,0.93355,1.02407,0.0098218,0.0098218,0.0098218
